Qualification_level,Awarding_institution,"Qualification Name",Qualification_Code,Date_Awarded,Where_Qualification_is_approved,Awarding_Institution_Country,Important_Information
Diploma,"Copenhagen Kindergarten Teachers College","Leaving Certificate for Kindergarten Teachers",,"Any date before 1 January 2012",Queensland,Denmark,"This qualification was previously assessed by the Queensland Government as being the equivalent to a Diploma qualification. Individuals seeking to work outside Queensland (or graduated after 1 January 2012) may still be eligible for recognition as a qualified educator if they apply to ACECQA for an assessment of equivalence."
"Certificate III","Council for Awards in Care, Health and Education (CACHE)","Level 2 Certificate in Child Care and Education",500/1886/3,"Any date before 1 January 2012",Queensland,"United Kingdom","This qualification was previously assessed by the Queensland Government as being the equivalent to a Certificate III qualification. Individuals seeking to work outside Queensland (or graduated after 1 January 2012) may still be eligible for recognition as a qualified educator if they apply to ACECQA for an assessment of equivalence."
"Certificate III","Council for Awards in Care, Health and Education (CACHE)","Level 2 Certificate in Child Care and Education",100/0645/X,"Any date before 1 January 2012",Queensland,"United Kingdom","This qualification was previously assessed by the Queensland Government as being the equivalent to a Certificate III qualification. Individuals seeking to work outside Queensland (or graduated after 1 January 2012) may still be eligible for recognition as a qualified educator if they apply to ACECQA for an assessment of equivalence."
"Certificate III","Council for Awards in Care, Health and Education (CACHE)","Level 2 Certificate in Early Years Care and Education (NVQ)",Q1050005,"Any date before 1 January 2012",Queensland,"United Kingdom","This qualification was previously assessed by the Queensland Government as being the equivalent to a Certificate III qualification. Individuals seeking to work outside Queensland (or graduated after 1 January 2012) may still be eligible for recognition as a qualified educator if they apply to ACECQA for an assessment of equivalence."
"Certificate III","Council for Awards in Care, Health and Education (CACHE)","Level 2 Certificate in Pre-school Practice",100/0647/3,"Any date before 1 January 2012",Queensland,"United Kingdom","This qualification was previously assessed by the Queensland Government as being the equivalent to a Certificate III qualification. Individuals seeking to work outside Queensland (or graduated after 1 January 2012) may still be eligible for recognition as a qualified educator if they apply to ACECQA for an assessment of equivalence."
"Certificate III","Council for Awards in Care, Health and Education (CACHE)","Level 2 Certificate in Pre-school Practice",100/5926/X,"Any date before 1 January 2012",Queensland,"United Kingdom","This qualification was previously assessed by the Queensland Government as being the equivalent to a Certificate III qualification. Individuals seeking to work outside Queensland (or graduated after 1 January 2012) may still be eligible for recognition as a qualified educator if they apply to ACECQA for an assessment of equivalence."
Diploma,"Council for Awards in Care, Health and Education (CACHE)","Level 3 Certificate of Professional Development in Work with Children and Young People",100/0644/8,"Any date before 1 January 2012",Queensland,"United Kingdom","This qualification was previously assessed by the Queensland Government as being the equivalent to a Diploma qualification. Individuals seeking to work outside Queensland (or graduated after 1 January 2012) may still be eligible for recognition as a qualified educator if they apply to ACECQA for an assessment of equivalence."
Diploma,"Council for Awards in Care, Health and Education (CACHE)","Level 3 Diploma in Child Care and Education",100/0649/7,"Any date before 1 January 2012",Queensland,"United Kingdom","This qualification was previously assessed by the Queensland Government as being the equivalent to a Diploma qualification."
Diploma,"Council for Awards in Care, Health and Education (CACHE)","Level 3 Diploma in Pre-school Practice",100/0648/5,"Any date before 1 January 2012",Queensland,"United Kingdom","This qualification was previously assessed by the Queensland Government as being the equivalent to a Diploma qualification. Individuals seeking to work outside Queensland (or graduated after 1 January 2012) may still be eligible for recognition as a qualified educator if they apply to ACECQA for an assessment of equivalence."
Diploma,"Council for Awards in Care, Health and Education (CACHE)","Level 3 NVQ in Child Care and Education:Group Care and Education",Q1011074,"Any date before 1 January 2012",Queensland,"United Kingdom","This qualification was previously assessed by the Queensland Government as being the equivalent to a Diploma qualification. Individuals seeking to work outside Queensland (or graduated after 1 January 2012) may still be eligible for recognition as a qualified educator if they apply to ACECQA for an assessment of equivalence."
Diploma,"Council for Awards in Care, Health and Education (CACHE)","Level 3 NVQ in Children's Care, Learning and Development",100/5516/2,"Any date before 1 January 2012",Queensland,"United Kingdom","This qualification was previously assessed by the Queensland Government as being the equivalent to a Diploma qualification. Individuals seeking to work outside Queensland (or graduated after 1 January 2012) may still be eligible for recognition as a qualified educator if they apply to ACECQA for an assessment of equivalence."
Diploma,"Council for Awards in Care, Health and Education (CACHE)","Level 3 NVQ in Early Years Care and Education",Q1050006,"Any date before 1 January 2012",Queensland,"United Kingdom","This qualification was previously assessed by the Queensland Government as being the equivalent to a Diploma qualification. Individuals seeking to work outside Queensland (or graduated after 1 January 2012) may still be eligible for recognition as a qualified educator if they apply to ACECQA for an assessment of equivalence."
"Certificate III","Council for Awards in Care, Health and Education (CACHE)","Level 3 Diploma in Child Care and Education (VRQ)",500/1901/6,"Any date before July 2019",National,"United Kingdom","Qualifications issued from November 2007. ACECQA assessed and approved this qualification on 1 July 2014."
"Certificate III","Council for Awards in Care, Health and Education (CACHE)","Level 3 Diploma in Child Care and Education (Northern Ireland) (VRQ)",601/3242/5,"Any date before July 2019",National,"United Kingdom","Qualifications issued from May 2014. ACECQA assessed and approved this qualification on 1 July 2014."
"Certificate III","Council for Awards in Care, Health and Education (CACHE)","Level 3 Diploma in Child Care and Education",100/0649/7,"Any date",National,"United Kingdom","Qualifications issued from September 2000 to October 2010. ACECQA assessed and approved this qualification on 4 May 2015."
"Certificate III","Council for Awards in Care, Health and Education (CACHE)","NCFE CACHE Level 3 Diploma in Early Years Education and Care (Early Years Educator)",601/2147/6,"Any date prior to June 2023",National,"United Kingdom","ACECQA assessed and approved this qualification on 28 May 2018."
Diploma,CQUniversity,"Associate Degree of Learning Management",,"Any date before 1 January 2012",National,Australia,"CQUniversity was formerly known by a different name: University of Central Queensland OR Central Queensland University OR Queensland Institute of Technology (Capricornia)."
